867453714302251008	#little red riding hood porn movie why do japanese girl scream when having sex https://t.co/5dsDDOsfnD	-0.0625	0.16666666666666666
867453714302455808	@RightWisconsin @SykesCharlie Thanks Obama!!!	0.390625	0.2
867453714302476288	RT @lukaseder: Meanwhile: JavaScript https://t.co/evU9FFqtNx	0	0
867453714306617346	@tayBsmithhh12 you're messages say diff	0	0
867453714306654208	pop trunk at da Texaco	0	0
867453714306662401	RT @TArienAriel: BreDay is what I call it  https://t.co/SBmOzAWL8u	0	0
867453714310811649	RT @FemaleTexts: This is the kind of extra I'm gonna be as a mom.  https://t.co/3t2v2EZY5y	0.3	0.5
867453714310852608	RT @TRobinsonNewEra: So the imam was concerned about the Manchester terrorists behaviour https://t.co/61b0WbtcJS	0	0
867453714314997760	Manchester is winners	0	0
867453714323435521	WHY IS OUR POOL NOT OPEN YET 	0	0.5
867453714327453696	Hey! Make sure to join the quick Awp Worm god MW giveaway!!!! #CSGO #CSGOGIVEAWAY #CSGOSKINS #CSGOFREESKINS https://t.co/RyO7y49DtN	0.6569010416666665	0.6944444444444444
867453714331836417	#WednesdayWisdom don't nut in her	0	0
867453714340163585	I havent been with Shinee since the beginning but I'll be with them long after the end. #9YearsWithSHINee https://t.co/cfTEbsiufv	-0.05	0.4
867453718500913152	Don't pity my soul	-0.1	0.2
867453718500958208	RT @ispeakgemini: Once a #Gemini stops caring, you have fucked up.	-0.6	0.7
867453718505115648	#wackyWednesday #Ghboxoffice #Original #Kumawood production https://t.co/ESFbFOjiIf	0.375	0.75
867453718505168898	Game Time! #UELfinal #MUFC	-0.5	0.4
867453718509256705	So happy  https://t.co/NnKPiPTU09	0.8	1
867453718509367296	RT @LegendsofCH: How soundcloud rappers be at they first live performance https://t.co/revGv3v0oB	0.19318181818181818	0.41666666666666663
867453718513438720	RT @jaynaidu87: #drug #mephedrone #meowmeow drug worth Rs 1.60 crores seized by ANC in #mumbai #narco #contraband #NDPS https://t.co/ST6LOv	0.3	0.1
867453718513541120	@pakprescott @RipCitizen_NBA @KellyScaletta @Rosenbergradio @BarstoolBigCat U should be mad bc u hoppin on another man's  	-0.625	1
867453718513553410	@Heritage With respect, to say that breaking even 10 years from now is an acceptable goal is ludicrous. How about a https://t.co/0TdAYxfQs6	0	0
867453718517645312	RT @holadamilola:  CONGRATS!! https://t.co/kMfIhJgA1f	0	0
867453718517698561	@ArsenalFanTV @EdTA6 Come on Robbie and everyone at @ArsenalFanTV you really going to post that utter bullshit?	0.1	0.6
867453718521929728	RT @cinnamontoastk: Comments about how you would bust a nut over other ytbers holding my baby are a little weird and creepy.	-0.328125	0.71875
867453718526033920	RT @Arianaworldupd2: At the Shawn mendes concert they sang one last time https://t.co/Gpjo3TkCoW	0	0.06666666666666667
867453722690895873	RT @casatino: Pope Francis with different heads of state during their visits at the Vatican. Something seems...different  https://t.co/J	0	0.6
867453722691080192	Happy birthday Lucy!! Love you so much miss cotillion https://t.co/mLCjbkpzgX	0.5666666666666667	0.6
867453722695041024	when i literally do everything for everyone but no one can ever do anything for me lol	0.8	0.7
867453722695262210	Worry Free Property Management-Downtown San Diego Specialist #downtownsd #Littleitalysd #SDPworryfree https://t.co/UFeUj4pmpQ	0.4	0.8
867453722695266304	RT @Dafabet: @celticfc The winners @barryfulton, @nickybhoy1888, @Lauren_m1888, @paulthetim @NiallGraham_ Congratulations you h 	0	0
867453722695270400	#IStillHaveFaithIn coffee. https://t.co/WLB5YHIhqu	0	0
867453722699243521	Actor/artist friends! As you might have noticed, I've been doing interviews for Cast It Talent. While we've been... https://t.co/azbHn3ksc2	0	0
867453722699284480	@Shazzzam14 this is Corinne right? Except with a saber or flag https://t.co/VhiJpj9yeL	0.2857142857142857	0.5357142857142857
867453722703667200	RT @MannCenter: Great lineup at this local festival! And a portion of proceeds will be donated to music education charities.  https://t.c	0.23333333333333336	0.2833333333333333
867453722707738625	Tumblr brainwashed me once into thinking that shit was okay It's fuckin not Cut it out	0.15	0.65
867453722711949312	@ElliotJarrous this isn't even debatable	0	0
867453722716233729	3 people followed me // automatically checked by https://t.co/Mh3RxPcoA7	0	0
867453722716250113	Tech: Warby Parker wants to check your eyeglass prescription with an app, but some are calling the approach dange https://t.co/grPBZeseBX	0.2	0.1
867453722720215040	JorgeAChan #VeranoMTV2017 Lady Gaga	0	0
867453722720382979	RT @changsvbism: can anyone who went to eunkwang's musical tonight release the clip of his bed scene or something i need it for science	0	0
867453722724577282	He looks so good  https://t.co/IYFUZRwx3l	0.7	0.6000000000000001
